Path,Parent,Name,Kind,SizeBytes,LastWriteUtc,CreatedUtc,Category,Action,SuggestedAction,PlannedDestination,PlanAction,RuleMatched,IsHidden,IsSystem,IsOneDrivePlaceholder,Sha1,Notes,MIMEType,DuplicateGroup,ExifDate,ClusterId
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures,synthetic-tree,Directory,4096,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\EXPECTED.json,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,EXPECTED.json,File,140,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Caches,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\npm,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches,npm,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\npm\_cacache,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\npm,_cacache,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\npm\_cacache\index.json,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\npm\_cacache,index.json,File,14,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/json,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\pip,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches,pip,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\pip\wheel-1.0-py3-none-any.whl,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Caches\pip,wheel-1.0-py3-none-any.whl,File,5004,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Archive,group,,,,Archive,False,False,False,,,application/zip,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Documents,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents\notes.txt,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents,notes.txt,File,13,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Document,group,,,,Document,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents\report-final.pdf,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents,report-final.pdf,File,809,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Document,group,,,,Document,False,False,False,,,application/pdf,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents\report.pdf,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Documents,report.pdf,File,809,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Document,group,,,,Document,False,False,False,,,application/pdf,,,
